Timestamp,Domain name queried,Resolution mode,DNS server IP contacted,Step of resolution,Response or referral received,Round-trip time to that server,Total time to resolution,Cache status
1761492576.503505,koopsmodellbau.de,Iterative,194.0.0.53,TLD,REFERRAL to webde.ui-dns.org. (needs glue lookup),513.7193202972412,,N/A
1761492577.053358,oberandsons.com,Iterative,162.159.26.14,Authoritative,ANSWER: 34.128.166.114,328.7205696105957,1034.9602699279785,N/A
1761492577.0541282,auto-klad.ru,Iterative,193.232.128.6,TLD,REFERRAL to ns3.salenames.RU. (needs glue lookup),258.0587863922119,,N/A
1761492577.0579216,stark.dk,Iterative,193.163.102.222,TLD,REFERRAL to ns-c.eurodns.eu. (needs glue lookup),248.6281394958496,,N/A
1761492577.0576928,120shenbing.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761492524\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,206.85648918151855,1230.8950424194336,N/A
1761492577.119488,theexoticpersian.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761492524\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,193.19915771484375,853.1744480133057,N/A
1761492577.2453454,grandcanyongrandhotel.com,Iterative,108.162.198.1,Authoritative,ANSWER: 142.44.217.176,521.888256072998,1403.1035900115967,N/A
1761492577.0501068,freepornvideosx.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761492524\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,160.80641746520996,1385.4269981384277,N/A
1761492577.6922932,stark.dk,Iterative,192.174.68.110,Authoritative,ANSWER: 20.50.2.80,107.7268123626709,989.0942573547363,N/A
1761492577.3172033,oneworldinfo.com,Iterative,192.41.162.30,TLD,REFERRAL to 2600:1f18:683a:ae1a:7507:36c0:50d7:e3a5,488.48891258239746,,N/A
1761492577.324242,ugotrelis.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,482.09285736083984,,N/A
1761492577.3360462,sitiweb.us,Iterative,204.74.105.1,TLD,REFERRAL to ns.supporthost.com. (needs glue lookup),417.2391891479492,,N/A
1761492577.3295403,daytimeghosthunter.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,499.37963485717773,,N/A
1761492577.3302622,2xfzy.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,502.0003318786621,,N/A
1761492577.3279233,divefishhouse.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,509.4747543334961,,N/A
1761492577.3682575,koopsmodellbau.de,Iterative,185.132.35.238,Authoritative,ANSWER: 217.160.0.247,469.96164321899414,1560.0149631500244,N/A
1761492577.1988623,breezelaw.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,648.3447551727295,,N/A
1761492577.3332555,deine-bahn.de,Iterative,198.41.0.4,Root,REFERRAL to 194.0.0.53,518.7027454376221,,N/A
